<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20010319,000000,0.296351,0.309148,0.292346,0.308314,423946505,0
AAPL.US,D,20010320,000000,0.310731,0.314018,0.295439,0.295439,594470746,0
AAPL.US,D,20010321,000000,0.296617,0.313061,0.290556,0.301735,442245329,0
AAPL.US,D,20010322,000000,0.305613,0.326266,0.302881,0.324176,861330349,0
AAPL.US,D,20010323,000000,0.330764,0.353288,0.3299,0.344898,1125202449,0
AAPL.US,D,20010326,000000,0.346657,0.356302,0.316733,0.326613,874607683,0
AAPL.US,D,20010327,000000,0.329057,0.345735,0.328448,0.343121,647599917,0
AAPL.US,D,20010328,000000,0.331072,0.337377,0.322448,0.332582,696234393,0
AAPL.US,D,20010329,000000,0.326266,0.35151,0.322448,0.338024,730057849,0
AAPL.US,D,20010330,000000,0.338367,0.340715,0.31999,0.331072,476748968,0
AAPL.US,D,20010402,000000,0.331072,0.339781,0.320856,0.323685,405967781,0
AAPL.US,D,20010403,000000,0.320268,0.320856,0.301735,0.303412,439044342,0
AAPL.US,D,20010404,000000,0.296351,0.303412,0.281325,0.292346,816296910,0
AAPL.US,D,20010405,000000,0.308933,0.337377,0.300015,0.313061,532018749,0
AAPL.US,D,20010406,000000,0.311938,0.315462,0.298424,0.308589,386888764,0
AAPL.US,D,20010409,000000,0.310386,0.31999,0.300791,0.308028,317454713,0
AAPL.US,D,20010410,000000,0.31338,0.340399,0.311634,0.330453,544655886,0
AAPL.US,D,20010411,000000,0.344664,0.344898,0.319117,0.326924,397852030,0
AAPL.US,D,20010412,000000,0.32115,0.345125,0.317014,0.336157,355979565,0
AAPL.US,D,20010416,000000,0.331072,0.335852,0.312813,0.321485,339654686,0
AAPL.US,D,20010417,000000,0.31792,0.318197,0.293966,0.305985,815956839,0
AAPL.US,D,20010418,000000,0.323685,0.361134,0.316152,0.34159,1310917922,0
AAPL.US,D,20010419,000000,0.383241,0.386333,0.353896,0.385707,2231225854,0
AAPL.US,D,20010420,000000,0.373696,0.384097,0.36893,0.375483,825726388,0
AAPL.US,D,20010423,000000,0.365002,0.374874,0.359916,0.363531,644865785,0
AAPL.US,D,20010424,000000,0.36469,0.371258,0.352667,0.360505,449107340,0
AAPL.US,D,20010425,000000,0.363235,0.372752,0.35358,0.370641,393904180,0
AAPL.US,D,20010426,000000,0.377555,0.391412,0.3702,0.370394,952304167,0
AAPL.US,D,20010427,000000,0.377898,0.394152,0.371258,0.39281,539461033,0
AAPL.US,D,20010430,000000,0.400417,0.406708,0.373088,0.382092,589195833,0
AAPL.US,D,20010501,000000,0.381208,0.397387,0.377898,0.3887,508785130,0
AAPL.US,D,20010502,000000,0.395038,0.400417,0.386333,0.398573,438850952,0
AAPL.US,D,20010503,000000,0.389282,0.393456,0.370946,0.374333,359087213,0
AAPL.US,D,20010504,000000,0.363531,0.387827,0.359309,0.386333,334686522,0
AAPL.US,D,20010507,000000,0.384097,0.386333,0.372469,0.374333,329324895,0
AAPL.US,D,20010508,000000,0.380315,0.381544,0.358972,0.368649,375632036,0
AAPL.US,D,20010509,000000,0.36192,0.368313,0.355075,0.359562,386888764,0
AAPL.US,D,20010510,000000,0.363235,0.367379,0.344024,0.344898,344122724,0
AAPL.US,D,20010511,000000,0.345125,0.352078,0.341303,0.342779,241792176,0
AAPL.US,D,20010514,000000,0.343415,0.355075,0.341303,0.349112,368229865,0
AAPL.US,D,20010515,000000,0.350595,0.382377,0.345419,0.347658,282257532,0
AAPL.US,D,20010516,000000,0.348828,0.367379,0.342779,0.361389,383841253,0
AAPL.US,D,20010517,000000,0.363531,0.36469,0.348532,0.353288,395498023,0
AAPL.US,D,20010518,000000,0.350271,0.354523,0.346657,0.352993,189403175,0
AAPL.US,D,20010521,000000,0.354192,0.35863,0.345735,0.353288,548970459,0
AAPL.US,D,20010522,000000,0.359916,0.361683,0.35091,0.352384,491713379,0
AAPL.US,D,20010523,000000,0.356302,0.356302,0.342779,0.348532,334673202,0
AAPL.US,D,20010524,000000,0.349112,0.349398,0.339243,0.347895,323616598,0
AAPL.US,D,20010525,000000,0.347895,0.349112,0.337377,0.341303,189036422,0
AAPL.US,D,20010529,000000,0.334743,0.337377,0.311938,0.321759,614456726,0
AAPL.US,D,20010530,000000,0.31131,0.31131,0.289527,0.296617,925369474,0
AAPL.US,D,20010531,000000,0.296872,0.303412,0.292068,0.299032,527410686,0
AAPL.US,D,20010601,000000,0.301735,0.316152,0.299643,0.31338,543108738,0
AAPL.US,D,20010604,000000,0.316152,0.316465,0.306938,0.309786,335720200,0
AAPL.US,D,20010605,000000,0.311938,0.316465,0.30531,0.314018,561827666,0
AAPL.US,D,20010606,000000,0.313698,0.313698,0.304661,0.311015,265765963,0
AAPL.US,D,20010607,000000,0.310731,0.325441,0.306577,0.324764,387235568,0
AAPL.US,D,20010608,000000,0.32447,0.32447,0.310731,0.319697,408008401,0
AAPL.US,D,20010611,000000,0.315838,0.316152,0.299032,0.300595,350104520,0
AAPL.US,D,20010612,000000,0.296351,0.310386,0.296351,0.304346,361767953,0
AAPL.US,D,20010613,000000,0.32115,0.326005,0.300791,0.306938,609095105,0
AAPL.US,D,20010614,000000,0.300595,0.306577,0.296351,0.29811,354092290,0
AAPL.US,D,20010615,000000,0.301458,0.31131,0.290332,0.306577,541381521,0
AAPL.US,D,20010618,000000,0.306223,0.312813,0.300015,0.304661,411922937,0
AAPL.US,D,20010619,000000,0.312813,0.320856,0.300261,0.302881,382360752,0
AAPL.US,D,20010620,000000,0.300015,0.327799,0.299643,0.325071,513986734,0
AAPL.US,D,20010621,000000,0.323362,0.344898,0.316465,0.33705,406468018,0
AAPL.US,D,20010622,000000,0.33705,0.344898,0.326266,0.333859,340608300,0
AAPL.US,D,20010625,000000,0.337377,0.359916,0.336433,0.359562,523429541,0
AAPL.US,D,20010626,000000,0.350036,0.356302,0.345125,0.356302,324836918,0
AAPL.US,D,20010627,000000,0.357233,0.359916,0.337377,0.350036,445526289,0
AAPL.US,D,20010628,000000,0.345735,0.35863,0.344024,0.352993,414897179,0
AAPL.US,D,20010629,000000,0.354781,0.376415,0.347895,0.348532,613743171,0
AAPL.US,D,20010702,000000,0.354523,0.363531,0.347011,0.358306,273948415,0
AAPL.US,D,20010703,000000,0.352667,0.362549,0.352384,0.357549,134019974,0
AAPL.US,D,20010705,000000,0.353896,0.356302,0.345125,0.347895,181354112,0
AAPL.US,D,20010706,000000,0.341303,0.344339,0.325678,0.330453,360727636,0
AAPL.US,D,20010709,000000,0.331072,0.344898,0.325071,0.340399,401866566,0
AAPL.US,D,20010710,000000,0.344024,0.346048,0.312516,0.317014,470700474,0
AAPL.US,D,20010711,000000,0.315462,0.338367,0.314904,0.338024,560293876,0
AAPL.US,D,20010712,000000,0.349398,0.37182,0.349398,0.365308,732125138,0
AAPL.US,D,20010713,000000,0.361683,0.375137,0.357549,0.372752,541521624,0
AAPL.US,D,20010716,000000,0.373088,0.376415,0.35863,0.359309,331845686,0
AAPL.US,D,20010717,000000,0.359562,0.378165,0.345125,0.376415,771456867,0
AAPL.US,D,20010718,000000,0.326613,0.34159,0.306223,0.311634,1353990781,0
AAPL.US,D,20010719,000000,0.318477,0.32115,0.296351,0.299318,1025472686,0
AAPL.US,D,20010720,000000,0.295439,0.300791,0.292068,0.299643,529424648,0
AAPL.US,D,20010723,000000,0.301164,0.30743,0.292687,0.293003,287419147,0
AAPL.US,D,20010724,000000,0.290832,0.298688,0.28101,0.286098,414857147,0
AAPL.US,D,20010725,000000,0.286667,0.289527,0.269333,0.276828,528584425,0
AAPL.US,D,20010726,000000,0.27712,0.281894,0.267868,0.278625,439584510,0
AAPL.US,D,20010727,000000,0.281325,0.288582,0.277375,0.284369,397898767,0
AAPL.US,D,20010730,000000,0.286667,0.290332,0.277682,0.283732,289799774,0
AAPL.US,D,20010731,000000,0.288898,0.291125,0.277682,0.281639,279876844,0
AAPL.US,D,20010801,000000,0.285206,0.296617,0.284035,0.285783,362174755,0
AAPL.US,D,20010802,000000,0.294475,0.29811,0.288898,0.297176,300196214,0
AAPL.US,D,20010803,000000,0.298424,0.298424,0.284939,0.292346,221559492,0
AAPL.US,D,20010806,000000,0.285488,0.294801,0.284939,0.286667,118668777,0
AAPL.US,D,20010807,000000,0.289781,0.295113,0.284644,0.288582,200713181,0
AAPL.US,D,20010808,000000,0.288898,0.295439,0.278005,0.283416,328871518,0
AAPL.US,D,20010809,000000,0.284369,0.286982,0.280697,0.285783,238957958,0
AAPL.US,D,20010810,000000,0.285488,0.289781,0.278625,0.285206,222639779,0
AAPL.US,D,20010813,000000,0.286375,0.289781,0.281325,0.286098,176239247,0
AAPL.US,D,20010814,000000,0.287945,0.290332,0.280155,0.28101,272641388,0
AAPL.US,D,20010815,000000,0.281325,0.284035,0.272975,0.276531,344482816,0
AAPL.US,D,20010816,000000,0.273781,0.281325,0.269333,0.279516,343069091,0
AAPL.US,D,20010817,000000,0.269951,0.276531,0.269629,0.271089,248200772,0
AAPL.US,D,20010820,000000,0.272014,0.273517,0.266945,0.271691,300449685,0
AAPL.US,D,20010821,000000,0.272014,0.272014,0.265336,0.268743,221139300,0
AAPL.US,D,20010822,000000,0.269068,0.273517,0.263971,0.273242,207175150,0
AAPL.US,D,20010823,000000,0.272975,0.27506,0.263656,0.266945,258503832,0
AAPL.US,D,20010824,000000,0.269951,0.279184,0.264434,0.278625,345736463,0
AAPL.US,D,20010827,000000,0.278907,0.289527,0.272339,0.283732,209162379,0
AAPL.US,D,20010828,000000,0.283416,0.286982,0.275913,0.275913,204507736,0
AAPL.US,D,20010829,000000,0.276531,0.282209,0.267241,0.267241,285765226,0
AAPL.US,D,20010830,000000,0.265983,0.272663,0.259138,0.267241,439051044,0
AAPL.US,D,20010831,000000,0.265983,0.278907,0.264434,0.278318,258297052,0
AAPL.US,D,20010904,000000,0.277375,0.286098,0.272663,0.273517,414663717,0
AAPL.US,D,20010905,000000,0.273517,0.284035,0.271691,0.278318,428767910,0
AAPL.US,D,20010906,000000,0.275913,0.283732,0.264434,0.265669,336253674,0
AAPL.US,D,20010907,000000,0.262429,0.271396,0.257941,0.259138,287979202,0
AAPL.US,D,20010910,000000,0.254954,0.262429,0.25368,0.260611,367783123,0
AAPL.US,D,20010917,000000,0.239868,0.256151,0.23603,0.254629,545409425,0
AAPL.US,D,20010918,000000,0.253381,0.265669,0.242638,0.244201,389522915,0
AAPL.US,D,20010919,000000,0.247461,0.256448,0.233957,0.25528,444559387,0
AAPL.US,D,20010920,000000,0.244201,0.254019,0.232446,0.235115,489639427,0
AAPL.US,D,20010921,000000,0.221973,0.243562,0.220098,0.23603,679389418,0
AAPL.US,D,20010924,000000,0.241439,0.252546,0.239062,0.246509,350744691,0
AAPL.US,D,20010925,000000,0.242001,0.243276,0.230028,0.233023,445853050,0
AAPL.US,D,20010926,000000,0.237305,0.238386,0.223694,0.227368,588028811,0
AAPL.US,D,20010927,000000,0.228513,0.236342,0.227956,0.232446,383734563,0
AAPL.US,D,20010928,000000,0.235705,0.238731,0.230953,0.232446,434783087,0
AAPL.US,D,20011001,000000,0.232446,0.239868,0.228513,0.233023,247940680,0
AAPL.US,D,20011002,000000,0.231195,0.237531,0.223074,0.225853,280897190,0
AAPL.US,D,20011003,000000,0.223997,0.230372,0.222495,0.224636,813389406,0
AAPL.US,D,20011004,000000,0.230028,0.243562,0.224919,0.238102,477669208,0
AAPL.US,D,20011005,000000,0.230953,0.242001,0.224919,0.242001,408081723,0
AAPL.US,D,20011008,000000,0.233632,0.24528,0.232446,0.242951,247673877,0
AAPL.US,D,20011009,000000,0.240782,0.242951,0.234537,0.239868,207235173,0
AAPL.US,D,20011010,000000,0.241439,0.252845,0.239062,0.252206,366489414,0
AAPL.US,D,20011011,000000,0.25368,0.265983,0.252845,0.265983,397932149,0
AAPL.US,D,20011012,000000,0.259452,0.271089,0.252845,0.270216,342735622,0
AAPL.US,D,20011015,000000,0.269068,0.275599,0.269068,0.269629,379579914,0
AAPL.US,D,20011016,000000,0.271089,0.272975,0.266288,0.270216,241678753,0
AAPL.US,D,20011017,000000,0.27506,0.276238,0.254296,0.254629,340028109,0
AAPL.US,D,20011018,000000,0.259138,0.273517,0.259138,0.269951,729471051,0
AAPL.US,D,20011019,000000,0.269068,0.275913,0.268154,0.274419,198619295,0
AAPL.US,D,20011022,000000,0.273242,0.286098,0.271089,0.285206,466732662,0
AAPL.US,D,20011023,000000,0.286667,0.291125,0.268154,0.272014,815696759,0
AAPL.US,D,20011024,000000,0.270757,0.286098,0.266288,0.284035,445879729,0
AAPL.US,D,20011025,000000,0.276531,0.288582,0.272339,0.287945,303603917,0
AAPL.US,D,20011026,000000,0.282798,0.288582,0.279184,0.280155,332199097,0
AAPL.US,D,20011029,000000,0.278625,0.280155,0.263971,0.264245,284825018,0
AAPL.US,D,20011030,000000,0.260611,0.269951,0.255839,0.263971,329578368,0
AAPL.US,D,20011031,000000,0.265983,0.275913,0.261535,0.263341,325990591,0
AAPL.US,D,20011101,000000,0.264434,0.281639,0.258488,0.278625,372724569,0
AAPL.US,D,20011102,000000,0.277682,0.282798,0.272339,0.278625,234836765,0
AAPL.US,D,20011105,000000,0.282502,0.288582,0.278907,0.286098,280790457,0
AAPL.US,D,20011106,000000,0.284369,0.294191,0.278005,0.293668,376325640,0
AAPL.US,D,20011107,000000,0.291748,0.301735,0.289781,0.293668,456076096,0
AAPL.US,D,20011108,000000,0.294191,0.298424,0.278625,0.280697,407434898,0
AAPL.US,D,20011109,000000,0.278907,0.288582,0.278318,0.280697,159921102,0
AAPL.US,D,20011112,000000,0.279832,0.287629,0.269333,0.281325,239951577,0
AAPL.US,D,20011113,000000,0.286098,0.290832,0.280697,0.290556,267546486,0
AAPL.US,D,20011114,000000,0.293668,0.298424,0.286982,0.293966,263351930,0
AAPL.US,D,20011115,000000,0.29142,0.298424,0.288582,0.29142,253682432,0
AAPL.US,D,20011116,000000,0.288898,0.28921,0.275913,0.284369,274682024,0
AAPL.US,D,20011119,000000,0.284939,0.300791,0.284369,0.300015,396058157,0
AAPL.US,D,20011120,000000,0.297176,0.302881,0.292346,0.293003,329364936,0
AAPL.US,D,20011121,000000,0.293966,0.296872,0.288898,0.295113,240051683,0
AAPL.US,D,20011123,000000,0.295712,0.299032,0.293668,0.297511,71454667,0
AAPL.US,D,20011126,000000,0.299032,0.323362,0.29811,0.320561,548603696,0
AAPL.US,D,20011127,000000,0.31792,0.322761,0.30743,0.314904,319802098,0
AAPL.US,D,20011128,000000,0.312813,0.318197,0.306223,0.308028,298435721,0
AAPL.US,D,20011129,000000,0.308933,0.310386,0.302881,0.306223,241458711,0
AAPL.US,D,20011130,000000,0.306938,0.321485,0.303412,0.319412,361907999,0
AAPL.US,D,20011203,000000,0.315838,0.319117,0.308933,0.315838,215737752,0
AAPL.US,D,20011204,000000,0.315838,0.338367,0.310731,0.335852,453015201,0
AAPL.US,D,20011205,000000,0.335272,0.360505,0.332582,0.356302,677082025,0
AAPL.US,D,20011206,000000,0.352078,0.352384,0.332004,0.34159,403613782,0
AAPL.US,D,20011207,000000,0.336728,0.340715,0.3299,0.338024,242352334,0
AAPL.US,D,20011210,000000,0.334154,0.344664,0.333536,0.338024,202453707,0
AAPL.US,D,20011211,000000,0.340078,0.342779,0.32447,0.326613,244686332,0
AAPL.US,D,20011212,000000,0.328124,0.328712,0.318477,0.322135,229188384,0
AAPL.US,D,20011213,000000,0.322135,0.323362,0.30743,0.314904,235596956,0
AAPL.US,D,20011214,000000,0.311015,0.312224,0.301164,0.305985,226120824,0
AAPL.US,D,20011217,000000,0.305985,0.314904,0.302881,0.309148,206861754,0
AAPL.US,D,20011218,000000,0.31338,0.319697,0.30313,0.315229,280130241,0
AAPL.US,D,20011219,000000,0.308589,0.325071,0.306938,0.324176,345289713,0
AAPL.US,D,20011220,000000,0.320856,0.321759,0.309148,0.310053,263011809,0
AAPL.US,D,20011221,000000,0.315229,0.323076,0.311938,0.314904,305251059,0
AAPL.US,D,20011224,000000,0.31338,0.321485,0.31338,0.320268,60291336,0
AAPL.US,D,20011226,000000,0.320268,0.334449,0.317014,0.322135,174338663,0
AAPL.US,D,20011227,000000,0.323685,0.333536,0.323685,0.331072,228054754,0
AAPL.US,D,20011228,000000,0.329351,0.344898,0.329351,0.336157,356206330,0
AAPL.US,D,20011231,000000,0.337699,0.339781,0.32721,0.328448,164075686,0
AAPL.US,D,20020102,000000,0.330764,0.349398,0.329351,0.349398,630541486,0
AAPL.US,D,20020103,000000,0.344898,0.356302,0.341303,0.35358,728797513,0
AAPL.US,D,20020104,000000,0.350036,0.358972,0.344664,0.355387,488212423,0
AAPL.US,D,20020107,000000,0.355674,0.359916,0.341303,0.343415,529424648,0
AAPL.US,D,20020108,000000,0.341303,0.345735,0.336728,0.338964,535919933,0
AAPL.US,D,20020109,000000,0.341883,0.343732,0.319117,0.32447,390396546,0
AAPL.US,D,20020110,000000,0.318197,0.321759,0.303412,0.318477,539134246,0
AAPL.US,D,20020111,000000,0.320856,0.327534,0.308933,0.315838,415363936,0
AAPL.US,D,20020114,000000,0.315229,0.320856,0.31338,0.317014,495381207,0
AAPL.US,D,20020115,000000,0.319697,0.326266,0.318197,0.325441,345723151,0
AAPL.US,D,20020116,000000,0.32115,0.32115,0.30743,0.311634,675074755,0
AAPL.US,D,20020117,000000,0.329351,0.34099,0.328124,0.33705,786634790,0
AAPL.US,D,20020118,000000,0.3299,0.338964,0.329351,0.332582,403467106,0
AAPL.US,D,20020122,000000,0.333859,0.335549,0.32721,0.32721,389776280,0
AAPL.US,D,20020123,000000,0.326924,0.345419,0.323685,0.345125,527870862,0
AAPL.US,D,20020124,000000,0.343732,0.352667,0.343415,0.348209,409648906,0
AAPL.US,D,20020125,000000,0.343415,0.351195,0.339781,0.348532,221392762,0
AAPL.US,D,20020128,000000,0.35091,0.353288,0.340715,0.348828,222026279,0
AAPL.US,D,20020129,000000,0.348209,0.352993,0.342779,0.346048,286185382,0
AAPL.US,D,20020130,000000,0.346048,0.36192,0.344024,0.361134,561567581,0
AAPL.US,D,20020131,000000,0.362282,0.370946,0.361389,0.370641,557839792,0
AAPL.US,D,20020201,000000,0.378595,0.385166,0.376201,0.381878,474314879,0
AAPL.US,D,20020204,000000,0.379784,0.384272,0.378595,0.38277,622058970,0
AAPL.US,D,20020205,000000,0.376091,0.389527,0.376091,0.381544,544075698,0
AAPL.US,D,20020206,000000,0.383853,0.389527,0.36192,0.3702,711612328,0
